modalidade,qtd_bolsas,qtd_beneficiarios,valor
IC - Iniciação Científica,2155,1817,4216400.0
PQ - Produtividade em Pesquisa,567,413,6671480.0
ICJ - Iniciação Científica Júnior,558,389,251100.0
IT - Iniciação Tecnológica,222,207,426800.0
GM - Mestrado,210,210,1993500.0
GD - Doutorado,209,142,3081902.0
APQ - Auxílio a Pesquisa,187,109,9354184.66
SET - Fixação de Recursos Humanos,81,68,879700.0
DTI - Desenvolvimento Tecnológico Industrial,74,67,785660.0
ATP - Apoio Técnico em Extensão no País ,52,49,143900.0
ITI - Iniciação Tecnológica e Industrial,43,36,75044.0
AT - Apoio Técnico a Pesquisa,30,29,88450.0
DT - Produtividade Desen. Tec. e Extensão ,28,24,304700.0
DCR - Desenvolvimento Cientifico Regional,20,20,672200.0
PDJ - Pós-doutorado Júnior,18,16,391100.0
EXP - Extensão no País,17,15,99060.0
ARC - Promoção de Eventos Científicos,8,8,451000.0
ITC - Iniciação Tecnológica em TICs,5,5,22000.0
PV - Pesquisador Visitante,4,4,127207.31
AED - Auxílio a Editoração e Publicação,4,4,52500.0
EV - Especialista Visitante,3,3,91500.0
PDS - Pós-doutorado Sênior,2,2,9600.0
SWP - Doutorado-Sanduiche no Pais,1,1,15200.0
PDI - Pos-doutorado Empresarial,1,1,24600.0
PAV - Bolsa Pesquisador-Avaliador,1,1,1200.0
