,Modalidade,chave,Valor Atual,Novo Valor,n_beneficiarios,soma_valor_atual,soma_novo_valor,dif
2,Desenvolvimento Científico e Tecnológico Regional,DCR A,6200.0,7750.0,1.0,6200.0,7750.0,1550.0
3,Desenvolvimento Científico e Tecnológico Regional,DCR B,5200.0,6500.0,4.0,20800.0,26000.0,5200.0
4,Desenvolvimento Científico e Tecnológico Regional,DCR C,4200.0,5250.0,15.0,63000.0,78750.0,15750.0
5,Doutorado,GD -,2200.0,3100.0,142.0,312400.0,440200.0,127800.0
6,Doutorado Sanduíche,SWP -,2200.0,3100.0,1.0,2200.0,3100.0,900.0
8,Iniciação Científica,IC -,400.0,700.0,1817.0,726800.0,1271900.0,545100.0
9,Iniciação Científica Júnior,ICJ -,100.0,300.0,389.0,38900.0,116700.0,77800.0
10,Iniciação Tecnológica,IT -,400.0,700.0,207.0,82800.0,144900.0,62100.0
11,Mestrado,GM -,1500.0,2100.0,210.0,315000.0,441000.0,126000.0
12,Pesquisador Visitante,PV 1,5200.0,6500.0,3.0,15600.0,19500.0,3900.0
13,Pós-doutorado Sênior,PDS -,4400.0,5500.0,2.0,8800.0,11000.0,2200.0
14,Pós-doutorado Júnior,PDJ -,4100.0,5200.0,16.0,65600.0,83200.0,17600.0
15,Pós-doutorado Empresarial,PDI -,4100.0,5200.0,1.0,4100.0,5200.0,1100.0
16,Produtividade em Pesquisa,PQ 1A,1300.0,1560.0,22.0,28600.0,34320.0,5720.0
17,Produtividade em Pesquisa,PQ 1B,1100.0,1320.0,20.0,22000.0,26400.0,4400.0
18,Produtividade em Pesquisa,PQ 1C,1100.0,1320.0,45.0,49500.0,59400.0,9900.0
19,Produtividade em Pesquisa,PQ 1D,1000.0,1200.0,85.0,85000.0,102000.0,17000.0
23,"Produtividade em Desenvolvimento Tecnológico
e Extensão Inovadora",DT 1D,1000.0,1200.0,5.0,5000.0,6000.0,1000.0
